voicetype,voicefile,transcript
creatureferalghoul,falloutnv.esm\creatureferalghoul\genericferalghoul_attack_0007ae7b_1.ogg,Stop you!
creatureferalghouldc,brokensteel.esm\creatureferalghouldc\dlc03wq03_greeting_00007e27_1.ogg,Grrrrrloooow...
creaturelowintsm,falloutnv.esm\creaturelowintsm\vdialoguej_greeting_0015e478_1.ogg,"{Keene left}The Nightkin aren't going to stick around long now that Keene's left. Not without a good reason, anyway."
creaturesmartsm,falloutnv.esm\creaturesmartsm\vending_vendingblackmounta_00161267_1.ogg,"{Narrating}Black Mountain Radio continued to broadcast its peculiar form of propaganda. Raul Tejada faced his execution each day, though pardoned in the end."
creaturesupermutant,falloutnv.esm\creaturesupermutant\vdialoguej_vdialoguejacobs_0015e44d_1.ogg,"{no cure}The Stealth Boys we use have cumulative, adverse effects on our minds. Jacobstown was supposed to be a sanctuary, a place to find a cure."
creaturesupermutantdc,fallout3.esm\creaturesupermutantdc\genericsup_supertalk1_000a4a4e_1.ogg,"I was thinking. And it hurt! Hurt my head! But I remembered things. From before... I think I knew a woman. Or maybe, I WAS a woman... Aggh! It hurts!"
creatureuniquelily,falloutnv.esm\creatureuniquelily\vdialoguel_vdialoguelilyli_0015f27e_2.ogg,"{Aside}Yes, Leo, I'm getting to that part! {Back to player}They made me one of them, and they put me to work in an army that was going to conquer California."
creatureuniquemarcus,falloutnv.esm\creatureuniquemarcus\vdialoguej_vdialoguejacobs_0014391d_1.ogg,"{Chuckles, player's being naive}That's like saying Caesar and Kimball would listen to each other. {Beat, explaining}Nightkin don't have a lot of trust for others, mutants included."
creatureuniquemrhouse,falloutnv.esm\creatureuniquemrhouse\vdialoguem_vdialoguemrhous_0014b662_3.ogg,"{sigh of impatience - oh, the burdens of intelligence}That you were searched very thoroughly when you arrived at the Fort is a certainty. And as the Chip is a little too large to be {beat, implying hiding it up rectum}secreted away..."
creatureuniquetabitha,falloutnv.esm\creatureuniquetabitha\radioblack_radiobmsegment0_00159718_1.ogg,"{Rhonda} We're back with Best Friend Tabitha, who was telling us why humans should {cue angry Tabitha voice}STAY THE HELL AWAY, {back to normal Rhonda voice}ier, keep their distance from the State of Utobitha."
dlc01raiderfemalecoldvoice,thepitt.esm\dlc01raiderfemalecoldvoice\dlc01convr_pittraidertalk3_0000629a_1.ogg,"Maybe I'll talk to Zubrowski or Diehl, get a card game going. Not exactly exciting, but it beats sitting around with our thumbs up our asses, right?"
dlc01raiderfemalegruffvoice,thepitt.esm\dlc01raiderfemalegruffvoice\dlc01convr_pittraidertalk3_0000629a_1.ogg,"Maybe I'll talk to Zubrowski or Diehl, get a card game going. Not exactly exciting, but it beats sitting around with our thumbs up our asses, right?"
dlc01raidermalecoldvoice,thepitt.esm\dlc01raidermalecoldvoice\dlc01convr_pittraidertalk3_0000629a_1.ogg,"Maybe I'll talk to Zubrowski or Diehl, get a card game going. Not exactly exciting, but it beats sitting around with our thumbs up our asses, right?"
dlc01raidermalegruffvoice,thepitt.esm\dlc01raidermalegruffvoice\dlc01convr_pittraidertalk3_0000629a_1.ogg,"Maybe I'll talk to Zubrowski or Diehl, get a card game going. Not exactly exciting, but it beats sitting around with our thumbs up our asses, right?"
dlc01slavefemale01voicetype,thepitt.esm\dlc01slavefemale01voicetype\dlc01convslave_slavetalk3_0000550e_1.ogg,"No. No! I'm sorry, I... I can't. It's just too risky. We fuck up, and we're Trog food. You want to be lunch for your own brother? Cause I sure don't."
dlc01slavefemale02voicetype,thepitt.esm\dlc01slavefemale02voicetype\dlc01convslave_slavetalk3_0000550e_1.ogg,"No. No! I'm sorry, I... I can't. It's just too risky. We fuck up, and we're Trog food. You want to be lunch for your own brother? Cause I sure don't."
dlc01slavemale01voicetype,thepitt.esm\dlc01slavemale01voicetype\dlc01convslave_slavetalk3_0000550e_1.ogg,"No. No! I'm sorry, I... I can't. It's just too risky. We fuck up, and we're Trog food. You want to be lunch for your own brother? Cause I sure don't."
dlc01slavemale02voicetype,thepitt.esm\dlc01slavemale02voicetype\dlc01convslave_slavetalk3_0000550e_1.ogg,"No. No! I'm sorry, I... I can't. It's just too risky. We fuck up, and we're Trog food. You want to be lunch for your own brother? Cause I sure don't."
dlc01slavermalevoicetype,thepitt.esm\dlc01slavermalevoicetype\dlc01quest_dlc01ramseygree_00002bb0_2.ogg,"So, if you're not who we're waiting for, then I suggest you fuck off before I shove my gun so far up your ass that you start burping lead."
dlc01uniquearenaannouncer,thepitt.esm\dlc01uniquearenaannouncer\dlc01quest_dlc01arenaannou_000071a1_1.ogg,"And now, this slave has proven willing to kill and die for his freedom! But how will he fare against the last man who made it all the way: Gruber!"
dlc01uniqueashur,thepitt.esm\dlc01uniqueashur\dlc01quest_dlc01ashurmeeti_0000185a_1.ogg,"[FAILED] Is that so? My second-in-command Wernher betrays me, works with slaves to escape justice, and then you magically appear among the slaves in my city?"
dlc01uniquemidea,thepitt.esm\dlc01uniquemidea\dlc01quest_dlc01mideast50g_0000a98a_2.ogg,"Now, outside of the mill, there are a bunch of old steel ingots just lying around. Every so often, the Foreman puts out a work order to collect them."
dlc01uniquesandra,thepitt.esm\dlc01uniquesandra\dlc01quest03_greeting_00002b80_2.ogg,"So you're here to see our little miracle, aren't you? This is my daughter Marie: she can be a handful, but my little angel is going to save the city."
dlc01uniquetrogvoice,thepitt.esm\dlc01uniquetrogvoice\dlc01ff_dlc01ff007slavetal_0000b150_1.ogg,<Ferocious growl>
dlc01uniquewernher,thepitt.esm\dlc01uniquewernher\dlc01quest_dlc01wernhertlp_000073b1_3.ogg,"And the worst... well... just hope you never have to see 'em. They turn into animals. They forget who they are. They just eat, sleep, fuck, and kill."
dlc02femalegeneric1,anchorage.esm\dlc02femalegeneric1\dlc02convo_outcasttalk3_00002dd9_1.ogg,"Oh, not again! You've got to shake this stuff off. Get your head clear. You're an Outcast, now, just like the rest of us. Deal with it already. Okay?"
dlc02femaleuniqueolin,anchorage.esm\dlc02femaleuniqueolin\dlc02oa1_dlc02oa1olinsimin_00004378_3.ogg,"Anyway, the technology here is impressive, but something's a bit off. Records suggest even some of the people who built this didn't understand it."
dlc02holotapevoice,anchorage.esm\dlc02holotapevoice\dlc02audio_dlc02holotapeof_0000c521_4.ogg,"No, no - it's not that at all. I get that the Chinese occupation in Alaska is strictly military, but don't you think they'd settle in a bit?"
